Taxon_name,year,Distribution,Mass,Feeding,HomeRange,MinimumArea,MinimumAreaLo,File,NVA,NVA_Lo
Puma_concolor,13000,5146578.744451523,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,4.436527166718713,3.3750695384105462
Puma_concolor,12000,6269211.749802589,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,5.404275271586362,4.1112798729477404
Puma_concolor,11000,6330247.923703194,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,5.45689054419917,4.151306722142489
Puma_concolor,10000,5035186.55253315,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,4.340503281698205,3.3020197683733543
Puma_concolor,9000,6185610.933446884,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,5.3322085042563545,4.056455380274314
Puma_concolor,8000,6492257.129981041,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,5.596548029414001,4.257550571542428
Puma_concolor,7000,5278634.870582581,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,4.550364070845303,3.461670488438939
Puma_concolor,6000,4452940.912416458,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,3.8385875958911826,2.920189503763341
Puma_concolor,5000,3379728.7887535095,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,2.913441983883263,2.216388837984598
Puma_concolor,4000,3534437.196873665,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,3.046805931007329,2.317844904530796
Puma_concolor,3000,3018918.999115944,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,2.6024115861708275,1.979773760156649
Puma_concolor,2000,4845706.729475021,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,4.177165183850442,3.1777609916789618
Puma_concolor,1000,6298375.931203842,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,5.429415794933306,4.130405421228948
Puma_concolor,0,2172741.1911182404,51,Carnivore,299.2896569135627,1160046.7101969689,1524880.8019746018,PaleoNicheModeling/PredictedTSS/Puma_concolor_TSS.rds,1.8729773310156814,1.4248596928394075
Scelidotherium_leptocephalum,21000,4459428.476476669,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,46.427399311712435,35.319450389047574
Scelidotherium_leptocephalum,20000,4526218.000104904,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,47.122749377238556,35.84843505126136
Scelidotherium_leptocephalum,19000,4405587.624333382,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,45.86685870546097,34.893021460719666
Scelidotherium_leptocephalum,18000,4039351.400589943,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,42.053949609184926,31.992366768439798
Scelidotherium_leptocephalum,17000,5109289.930688858,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,53.193149091342804,40.4664663156123
Scelidotherium_leptocephalum,16000,4822018.478541374,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,50.20234735742996,38.19122637044132
Scelidotherium_leptocephalum,15000,5157711.1780023575,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,53.69726583994714,40.84997102956528
Scelidotherium_leptocephalum,14000,3926061.709900856,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,40.874483286254176,31.095092682536052
Scelidotherium_leptocephalum,13000,3881089.772146225,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,40.406277523347676,30.738907101176757
Scelidotherium_leptocephalum,12000,4658211.708032608,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,48.49694443764118,36.89384821203086
Scelidotherium_leptocephalum,11000,4287314.810587883,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,44.63551276495594,33.9562801721235
Scelidotherium_leptocephalum,10000,5883288.781734467,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,61.25130136665245,46.59667205047004
Scelidotherium_leptocephalum,9000,5129610.758202553,800,Herbivore,24.781128381102135,96051.65360515188,126259.84910171539,PaleoNicheModeling/PredictedTSS/Scelidotherium_leptocephalum_TSS.rds,53.404710545529,40.62741080951332
