Site_code,Country,Site name,lat,lon,Cal mean,,,,,,,,,
1955,Chile,Pichidangui/LV 531,-32.107777,-71.513533,9014,,,,,,,,,
1958,Brazil,Gruta do Pequia,-6.0875,-50.12,9002,,,,,,,,,
1952,Chile,Tuyajto 1b,-24.016361,-67.368164,9001,,,,,,,,,
1953,Peru,Amotape PV8-13,-4.738,-81.191,9000,,,,,,,,,
1956,Argentina,El Guanaco,-38.6833,-59.65,8995,,,,,,,,,
1954,Peru,Pachamachay,-11.1,-76.183,8985,,,,,,,,,
1957,Chile,Acha 3,-18.35,-70.343383,8985,,,,,,,,,
1960,Brazil,N4-WS-005,-5.966,-50.5333,8974,,,,,,,,,
1964,Argentina,Cueva Salamanca 1,-26.0227,-65.2563,8946,,,,,,,,,
1970,Argentina,La Gruta 1,-48.8261,-69.3961,8946,,,,,,,,,
1961,Bolivia,Iroco,-17.988291,-67.1841,8945,,,,,,,,,
1963,Brazil,Cha de Caboclo,-18.285278,-43.853889,8942,,,,,,,,,
1962,Ecuador,Santa Elena,-2.12,-80.57,8941,,,,,,,,,
1969,Argentina,Campo Laborde,-37.01,-60.3847,8936,,,,,,,,,
1977,Argentina,Campo Laborde,-37.01,-60.3847,8925,,,,,,,,,
1982,Brazil,Gruta do Gaviao,-6.042,-50.201,8925,,,,,,,,,
1965,Colombia,La Pochola,5.51968,-75.247739,8924,,,,,,,,,
1966,Brazil,"Itapiranga, Santa Catarina",-27.183333,-53.75,8922,,,,,,,,,
1973,Brazil,Toca do Bojo,-9.00182,-42.762802,8919,,,,,,,,,
1968,Peru,Kilometer 4,-17.54757,-71.362696,8913,,,,,,,,,
1967,Colombia,Pena Roja,-0.213066,-72.767468,8912,,,,,,,,,
1972,Brazil,Boqueirao de Pedra Furada,-8.85,-42.555556,8906,,,,,,,,,
1975,Brazil,Lapa Grande de Taquarucu,-19.606389,-43.734444,8904,,,,,,,,,
1974,Peru,Asana,-17.1,-70.633,8903,,,,,,,,,
1991,Panama,Carabali,8.3,-80.98,8903,,,,,,,,,
1979,Peru,Puyenca 1 (PV-81-5) (17b-IV-20a),-16.217,-73.668,8900,,,,,,,,,
1980,Argentina,ARQ 18,-29.403488,-69.928869,8898,,,,,,,,,
1978,Chile,Caleta Vitor 3,-18.75,-70.3333,8897,,,,,,,,,
1971,Peru,CA,-6.95,-79.24,8896,,,,,,,,,
1976,Chile,Huentelauquen,-31.658057,-71.477051,8896,,,,,,,,,
1981,Chile,Cuchipuy,-34.485556,-71.119167,8886,,,,,,,,,
1984,Argentina,Cerro El Sombrero A1,-37.817,-58.56,8885,,,,,,,,,
1987,Brazil,Boqueirao de Pedra Furada,-8.85,-42.555556,8882,,,,,,,,,
1988,Brazil,Toca do Bojo,-9.00182,-42.762802,8882,,,,,,,,,
1983,Argentina,Intihuasi,-32.8469,-65.9833,8874,,,,,,,,,
1985,Peru,Quebrada Jaguay,-16.5,-72.633,8870,,,,,,,,,
1989,Argentina,La Martita Cave 4,-48.55,-69.25,8870,,,,,,,,,
1992,Brazil,Lapa da Amoreira,-11.907425,-52.938387,8869,,,,,,,,,
1585,Argentina,Gruta del Indio,-34.7500,-68.366667,8864,,,,,,,,,
1990,Argentina,Gruta del Indio,-34.75,-68.366667,8864,,,,,,,,,
1986,Brazil,N4-WS-005,-5.966,-50.5333,8863,,,,,,,,,
1993,Peru,Quebrada de los Burros,-18.016667,-70.833333,8854,,,,,,,,,
1997,Peru,Quiqche Cave (Lm5-1),-12.233,-76.35,8854,,,,,,,,,
1998,Brazil,RS-C-61/Pilger,-29.512638,-51.727792,8853,,,,,,,,,
1996,Peru,Tres Ventanas,-12.206,-76.377,8849,,,,,,,,,
1999,Chile,Monte Verde,-41.5047,-73.2044,8849,,,,,,,,,
2005,Peru,Asana,-17.1,-70.633,8849,,,,,,,,,
2001,Brazil,RS-TQ-58/Garivaldino,-29.593873,-51.727792,8843,,,,,,,,,
1995,Colombia,El Recreo Cancha,5.834124,-75.871927,8842,,,,,,,,,
2000,Peru,Quebrada de los Burros,-18.016667,-70.833333,8837,,,,,,,,,
2006,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,8836,,,,,,,,,
2007,Argentina,Cueva del Paisano Desconocido,-48.965121,-72.15502,8830,,,,,,,,,
2002,Argentina,Cueva Maripe,-47.8513,-68.9341,8827,,,,,,,,,
2003,Peru,Kilometer 4,-17.54757,-71.362696,8824,,,,,,,,,
2004,Peru,Amotape PV8-13,-4.738,-81.191,8820,,,,,,,,,
2012,Chile,Baño Nuevo,-45.264404,-71.442754,8818,,,,,,,,,
2010,Chile,Toconoce,-22.065278,-68.400879,8807,,,,,,,,,
2011,Chile,Chulqui 1A,-22.095819,-68.225098,8807,,,,,,,,,
2009,Peru,Quebrada Tacahuay,-17.8,-71.1,8806,,,,,,,,,
2008,Colombia,Guayabito,3.600452,-75.704269,8805,,,,,,,,,
